,critic,counts
0,JEANNETTE CATSOULIS,128
1,NICOLAS RAPOLD,116
2,A. O. SCOTT,109
3,BEN KENIGSBERG,103
4,STEPHEN HOLDEN,99
5,MANOHLA DARGIS,95
6,NEIL GENZLINGER,52
7,ANDY WEBSTER,40
8,ANITA GATES,21
9,DANIEL M. GOLD,20
10,RACHEL SALTZ,20
11,MIRIAM BALE,14
12,DAVID DEWITT,7
13,NICOLE HERRINGTON,6
14,GEOFFREY O’BRIEN,1
