,critic,counts,gender
0,A. O. SCOTT,107,male
1,STEPHEN HOLDEN,99,male
2,ELVIS MITCHELL,90,male
3,LAWRENCE VAN GELDER,25,male
4,DAVE KEHR,6,male
5,ANITA GATES,4,female
