,critic,counts
0,JEANNETTE CATSOULIS,126
1,STEPHEN HOLDEN,120
2,A. O. SCOTT,115
3,MANOHLA DARGIS,103
4,NEIL GENZLINGER,52
5,MIKE HALE,51
6,ANDY WEBSTER,40
7,RACHEL SALTZ,35
8,PAUL BRUNICK,16
9,BY A.&NBSP;O. SCOTT,13
10,DAVID DEWITT,9
11,DANIEL M. GOLD,8
12,CARINA CHOCANO,2
13,JOHN ANDERSON,1
14,MICHAEL KINSLEY,1
