,critic,counts
0,GLENN KENNY,47
1,BEN KENIGSBERG,45
2,JEANNETTE CATSOULIS,40
3,A.O. SCOTT,39
4,MANOHLA DARGIS,22
5,BILGE EBIRI,14
6,TEO BUGBEE,11
7,KEN JAWOROWSKI,7
8,JASON BAILEY,4
9,WESLEY MORRIS,4
10,SCOTT TOBIAS,3
11,KAREN HAN,3
12,ELISABETH VINCENTELLI,3
13,CANDICE FREDERICK,2
14,SEAN T. COLLINS,2
15,RACHEL SALTZ,2
16,HELEN T. VERONGOS,2
17,AISHA HARRIS,2
18,JASON ZINOMAN,1
19,MARTIN TSAI,1
20,CHRIS VOGNAR,1
21,JENNIFER SZALAI,1
