,critic,counts,gender
0,A. O. SCOTT,123,male
1,STEPHEN HOLDEN,120,male
2,ELVIS MITCHELL,114,male
3,DAVE KEHR,36,male
4,LAWRENCE VAN GELDER,19,male
5,ANITA GATES,2,female
