,critic,counts
0,A. O. SCOTT,134
1,STEPHEN HOLDEN,116
2,JEANNETTE CATSOULIS,103
3,MANOHLA DARGIS,85
4,MIKE HALE,79
5,NEIL GENZLINGER,29
6,ANDY WEBSTER,14
7,RACHEL SALTZ,12
8,DANIEL M. GOLD,4
9,MATT ZOLLER SEITZ,2
10,PAUL BRUNICK,1
