,critic,counts
0,GLENN KENNY,130
1,BEN KENIGSBERG,110
2,JEANNETTE CATSOULIS,109
3,A.O. SCOTT,93
4,MANOHLA DARGIS,76
5,ANDY WEBSTER,52
6,NEIL GENZLINGER,45
7,KEN JAWOROWSKI,44
8,MONICA CASTILLO,19
9,TEO BUGBEE,17
10,STEPHEN HOLDEN,11
11,DANIEL M. GOLD,9
12,HELEN T. VERONGOS,8
13,NICOLE HERRINGTON,7
14,JASON ZINOMAN,3
15,RACHEL SALTZ,3
16,GENE SEYMOUR,1
17,A. O. SCOTT,1
18,BRIAN SEIBERT,1
19,JON CARAMANICA,1
20,GIA KOURLAS,1
