,critic,counts
0,JEANNETTE CATSOULIS,131
1,STEPHEN HOLDEN,120
2,A. O. SCOTT,113
3,MANOHLA DARGIS,103
4,NICOLAS RAPOLD,95
5,NEIL GENZLINGER,70
6,ANDY WEBSTER,43
7,MIRIAM BALE,40
8,RACHEL SALTZ,26
9,DAVID DEWITT,25
10,DANIEL M. GOLD,19
11,NICOLE HERRINGTON,17
12,ANITA GATES,14
13,KEN JAWOROWSKI,1
14,JON CARAMANICA,1
