,critic,counts
0,GLENN KENNY,148
1,BEN KENIGSBERG,126
2,JEANNETTE CATSOULIS,113
3,A.O. SCOTT,83
4,MANOHLA DARGIS,75
5,KEN JAWOROWSKI,41
6,TEO BUGBEE,37
7,BILGE EBIRI,14
8,A. O. SCOTT,11
9,WESLEY MORRIS,11
10,JASON ZINOMAN,9
11,AISHA HARRIS,8
12,HELEN T. VERONGOS,4
13,JENNIFER SZALAI,3
14,SCOTT TOBIAS,1
15,JON CARAMANICA,1
16,KAREN HAN,1
17,ELISABETH VINCENTELLI,1
18,RACHEL SALTZ,1
19,KYLE TURNER,1
20,MONICA CASTILLO,1
