,critic,counts
0,A. O. SCOTT,119
1,MANOHLA DARGIS,116
2,STEPHEN HOLDEN,112
3,JEANNETTE CATSOULIS,108
4,NATHAN LEE,75
5,MATT ZOLLER SEITZ,24
6,LAURA KERN,19
7,NEIL GENZLINGER,17
8,RACHEL SALTZ,9
9,ANDY WEBSTER,4
10,BY JEANNETTE CATSOULIS NATHAN LEE  NEIL GENZLINGER   LAURA KERN,1
11,BY . A. O. SCOTT,1
12,BY JEANNETTE CATSOULIS NATHAN LEE,1
13,BY JEANETTE CATSOULIS,1
