,critic,counts
0,A. O. SCOTT,93
1,STEPHEN HOLDEN,81
2,MANOHLA DARGIS,72
3,JEANNETTE CATSOULIS,56
4,NATHAN LEE,37
5,NEIL GENZLINGER,17
6,MIKE HALE,16
7,RACHEL SALTZ,8
8,LAURA KERN,3
9,ANDY WEBSTER,3
10,JANET MASLIN,2
11,DANIEL M. GOLD,1
12,ELLA TAYLOR,1
