,critic,counts,gender
0,STEPHEN HOLDEN,128,male
1,A. O. SCOTT,98,male
2,DAVE KEHR,90,male
3,ELVIS MITCHELL,90,male
4,ANITA GATES,8,female
5,LAWRENCE VAN GELDER,4,male
