,critic,counts
0,A. O. SCOTT,114
1,STEPHEN HOLDEN,103
2,MANOHLA DARGIS,100
3,JEANNETTE CATSOULIS,81
4,NEIL GENZLINGER,79
5,NICOLAS RAPOLD,77
6,ANDY WEBSTER,63
7,BEN KENIGSBERG,54
8,DANIEL M. GOLD,34
9,KEN JAWOROWSKI,20
10,GLENN KENNY,15
11,RACHEL SALTZ,11
12,HELEN T. VERONGOS,11
13,MIKE HALE,3
14,JON CARAMANICA,3
15,ANITA GATES,3
16,NICOLE HERRINGTON,2
17,BRIAN SEIBERT,1
18,JOHN WILLIAMS,1
19,ROBERTA SMITH,1
