,critic,counts,gender
0,A. O. SCOTT,135,male
1,STEPHEN HOLDEN,133,male
2,ELVIS MITCHELL,110,male
3,DAVE KEHR,76,male
4,LAWRENCE VAN GELDER,12,male
5,RON WERTHEIMER,1,male
6,JULIE SALAMON,1,female
