,critic,counts,gender
0,A. O. SCOTT,84,male
1,STEPHEN HOLDEN,75,male
2,DAVE KEHR,57,male
3,ELVIS MITCHELL,38,male
4,MANOHLA DARGIS,10,female
5,NED MARTEL,1,male
