,critic,counts
0,NEIL GENZLINGER,103
1,A. O. SCOTT,100
2,GLENN KENNY,95
3,STEPHEN HOLDEN,91
4,MANOHLA DARGIS,85
5,JEANNETTE CATSOULIS,74
6,ANDY WEBSTER,66
7,KEN JAWOROWSKI,47
8,BEN KENIGSBERG,40
9,DANIEL M. GOLD,22
10,HELEN T. VERONGOS,22
11,NICOLAS RAPOLD,20
12,RACHEL SALTZ,6
13,MIKE HALE,1
14,A.O. SCOTT,1
15,ANITA GATES,1
16,GIA KOURLAS,1
