,critic,counts,gender
0,MANOHLA DARGIS,84,female
1,STEPHEN HOLDEN,78,male
2,JEANNETTE CATSOULIS,77,female
3,A. O. SCOTT,82,male
4,NATHAN LEE,54,male
5,NEIL GENZLINGER,23,male
6,LAURA KERN,22,female
8,ANITA GATES,6,female
9,ANDY WEBSTER,2,male
10,DANA STEVENS,2,female
11,RACHEL SALTZ,1,female
17,PHILLIP LOPATE,1,male
