,critic,counts
0,MATT ZOLLER SEITZ,119
1,JEANNETTE CATSOULIS,117
2,STEPHEN HOLDEN,109
3,MANOHLA DARGIS,105
4,A. O. SCOTT,82
5,NEIL GENZLINGER,17
6,ANDY WEBSTER,14
7,LAURA KERN,14
8,RACHEL SALTZ,12
9,MATT  ZOLLER  SEITZ,4
10,BY A.O. SCOTT,3
11,BY A. O. SCOTT,3
12,MATT  ZOLLER SEITZ,1
13,STEPHEN   HOLDEN,1
14,MATT ZOLLER  SEITZ,1
15,BY JEANETTE CATSOULIS,1
16,LAURA  KERN,1
