,critic,counts
0,STEPHEN HOLDEN,137
1,MANOHLA DARGIS,118
2,JEANNETTE CATSOULIS,109
3,A. O. SCOTT,93
4,NEIL GENZLINGER,52
5,ANDY WEBSTER,45
6,NICOLAS RAPOLD,36
7,RACHEL SALTZ,31
8,BY A.&#160;O. SCOTT,27
9,DAVID DEWITT,13
10,DANIEL M. GOLD,10
11,A.&#160;O. SCOTT,9
12,JON CARAMANICA,5
13,MIKE HALE,1
14,BY A.&NBSP;O. SCOTT,1
15,NICOLE HERRINGTON,1
