"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Detroit, MI","1,793,947"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Houston-Galveston, TX","1,714,806"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Los Angeles, CA","4,493,285"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","New York City, NY","4,337,324"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Norfolk, VA","1,753,240"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Ogdensburg, NY","2,067,966"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","San Francisco, CA","1,122,272"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Savannah, GA","1,718,826"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Seattle, WA","521,497"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","All Districts","27,553,786"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Charleston, SC","1,623,819"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Detroit, MI","1,943,616"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Houston-Galveston, TX","1,649,542"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Los Angeles, CA","4,771,200"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","New York City, NY","4,579,825"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Norfolk, VA","1,981,442"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Ogdensburg, NY","2,070,322"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","San Francisco, CA","865,202"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Savannah, GA","1,839,938"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2019","Seattle, WA","477,224"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","All Districts","3,204,749"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Charleston, SC","62,525"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Houston-Galveston, TX","577,471"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2019 through May","Los Angeles, CA","19,290"
