"Standard Report - Exports"
"Current date: 07/13/2019 5:48 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","All Districts","816,778,101"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Charleston, SC","48,139,620"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Detroit, MI","31,609,551"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Houston-Galveston, TX","47,848,570"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Los Angeles, CA","309,329,958"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","New York City, NY","75,447,740"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Norfolk, VA","34,122,149"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Ogdensburg, NY","16,356,670"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","San Francisco, CA","58,746,054"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Savannah, GA","40,169,950"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2015","Seattle, WA","42,056,154"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","All Districts","1,099,389"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","Charleston, SC","511,424"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","Los Angeles, CA","3,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","New York City, NY","298,831"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","Norfolk, VA","24,897"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","2015","Savannah, GA","102,230"
"3915 Waste, Parings And Scrap, Of Plastics","Algeria","2015","All Districts","42,220"
"3915 Waste, Parings And Scrap, Of Plastics","Algeria","2015","Charleston, SC","42,220"
"3915 Waste, Parings And Scrap, Of Plastics","Cameroon","2015","All Districts","17,500"
"3915 Waste, Parings And Scrap, Of Plastics","Cameroon","2015","Charleston, SC","17,500"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","2015","All Districts","11,318"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","2015","New York City, NY","11,318"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","2015","All Districts","19,435"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","2015","Charleston, SC","9,900"
