"Standard Report - Exports"
"Current date: 07/13/2019 4:35 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","All Districts","446,472,875"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Charleston, SC","31,009,875"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Detroit, MI","23,084,337"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Houston-Galveston, TX","35,446,552"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Los Angeles, CA","103,926,548"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","New York City, NY","58,925,923"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Norfolk, VA","24,031,902"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Ogdensburg, NY","17,864,673"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","San Francisco, CA","23,692,053"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Savannah, GA","28,165,524"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2018","Seattle, WA","20,991,581"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","All Districts","39,331,736"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Charleston, SC","3,241,341"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Detroit, MI","1,580,549"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Houston-Galveston, TX","2,400,437"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Los Angeles, CA","10,032,109"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","New York City, NY","5,247,492"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Norfolk, VA","2,244,524"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Ogdensburg, NY","1,359,505"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","San Francisco, CA","2,142,494"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Savannah, GA","2,162,487"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2018","Seattle, WA","2,490,448"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","All Districts","43,441,239"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Charleston, SC","3,931,260"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Detroit, MI","1,755,359"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Houston-Galveston, TX","3,918,304"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Los Angeles, CA","11,012,526"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","New York City, NY","4,585,589"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Norfolk, VA","2,725,771"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Ogdensburg, NY","1,453,379"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","San Francisco, CA","2,502,190"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Savannah, GA","3,347,949"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2018","Seattle, WA","1,770,837"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","All Districts","49,769,513"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Charleston, SC","4,397,046"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Detroit, MI","1,932,652"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Houston-Galveston, TX","3,737,047"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Los Angeles, CA","14,879,583"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","New York City, NY","5,193,068"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Norfolk, VA","3,380,873"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Ogdensburg, NY","1,616,693"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","San Francisco, CA","2,299,525"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Savannah, GA","2,586,494"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2018","Seattle, WA","2,195,462"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","All Districts","45,779,841"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Charleston, SC","3,415,354"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Detroit, MI","1,777,614"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Houston-Galveston, TX","2,770,980"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Los Angeles, CA","11,145,037"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","New York City, NY","6,832,352"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Norfolk, VA","2,854,365"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Ogdensburg, NY","1,769,296"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","San Francisco, CA","3,042,598"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Savannah, GA","3,026,698"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2018","Seattle, WA","2,257,217"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","All Districts","49,300,120"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Charleston, SC","2,947,938"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Detroit, MI","2,244,968"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Houston-Galveston, TX","4,263,635"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Los Angeles, CA","13,720,065"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","New York City, NY","7,511,483"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Norfolk, VA","2,300,913"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Ogdensburg, NY","1,672,512"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","San Francisco, CA","2,869,955"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Savannah, GA","3,054,126"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","May 2018","Seattle, WA","2,132,725"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","All Districts","43,120,720"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","Charleston, SC","2,452,334"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","Detroit, MI","1,961,647"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","Houston-Galveston, TX","3,297,625"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","Los Angeles, CA","9,293,380"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","June 2018","New York City, NY","6,506,263"
