"Standard Report - Exports"
"Current date: 07/13/2019 5:44 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Kuwait","2016","New York City, NY","20,570"
"3915 Waste, Parings And Scrap, Of Plastics","Kuwait","2016","Savannah, GA","18,289"
"3915 Waste, Parings And Scrap, Of Plastics","Lebanon","2016","All Districts","11,207"
"3915 Waste, Parings And Scrap, Of Plastics","Lebanon","2016","Norfolk, VA","11,207"
"3915 Waste, Parings And Scrap, Of Plastics","Saudi Arabia","2016","All Districts","38,913"
"3915 Waste, Parings And Scrap, Of Plastics","Saudi Arabia","2016","Houston-Galveston, TX","12,127"
"3915 Waste, Parings And Scrap, Of Plastics","Saudi Arabia","2016","Norfolk, VA","7,800"
"3915 Waste, Parings And Scrap, Of Plastics","Saudi Arabia","2016","Savannah, GA","14,450"
"3915 Waste, Parings And Scrap, Of Plastics","United Arab Emirates","2016","All Districts","47,347"
"3915 Waste, Parings And Scrap, Of Plastics","United Arab Emirates","2016","New York City, NY","20,897"
"3915 Waste, Parings And Scrap, Of Plastics","United Arab Emirates","2016","Norfolk, VA","16,143"
"3915 Waste, Parings And Scrap, Of Plastics","United Arab Emirates","2016","Savannah, GA","2,736"
"3915 Waste, Parings And Scrap, Of Plastics","Yemen","2016","All Districts","12,000"
"3915 Waste, Parings And Scrap, Of Plastics","Yemen","2016","Savannah, GA","12,000"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","All Districts","51,087,618"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Charleston, SC","2,097,960"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Detroit, MI","10,020"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Houston-Galveston, TX","21,954,250"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Los Angeles, CA","256,856"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","New York City, NY","15,988,907"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Norfolk, VA","3,369,552"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","San Francisco, CA","182,726"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Savannah, GA","5,970,811"
"3915 Waste, Parings And Scrap, Of Plastics","Asia - South","2016","Seattle, WA","34,205"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","All Districts","562,085"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","Charleston, SC","4,600"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","Houston-Galveston, TX","17,865"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","Los Angeles, CA","14,152"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","New York City, NY","448,318"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","Norfolk, VA","22,290"
"3915 Waste, Parings And Scrap, Of Plastics","Bangladesh","2016","Savannah, GA","54,860"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","All Districts","49,643,864"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Charleston, SC","2,063,188"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Detroit, MI","10,020"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Houston-Galveston, TX","21,929,793"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Los Angeles, CA","221,899"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","New York City, NY","14,963,960"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Norfolk, VA","3,172,800"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","San Francisco, CA","175,791"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Savannah, GA","5,884,552"
"3915 Waste, Parings And Scrap, Of Plastics","India","2016","Seattle, WA","34,205"
